phrases,frequency,category_type
beri tim,66,Negative Feedback (Bigram)
dark sistem,66,Negative Feedback (Bigram)
dapat tim,63,Negative Feedback (Bigram)
kasih tim,60,Negative Feedback (Bigram)
dark system,33,Negative Feedback (Bigram)
musuh jago,32,Negative Feedback (Bigram)
tim musuh,31,Negative Feedback (Bigram)
main sendiri,28,Negative Feedback (Bigram)
lose streak,28,Negative Feedback (Bigram)
tim bot,28,Negative Feedback (Bigram)
buat stres,26,Negative Feedback (Bigram)
kalah terus,25,Negative Feedback (Bigram)
banyak dark,23,Negative Feedback (Bigram)
match making,21,Negative Feedback (Bigram)
kalah selalu,20,Negative Feedback (Bigram)
tim benar,20,Negative Feedback (Bigram)
tim dark,20,Negative Feedback (Bigram)
sedangkan tim,19,Negative Feedback (Bigram)
jaringan bagus,18,Negative Feedback (Bigram)
setiap main,18,Negative Feedback (Bigram)
tiba tiba,18,Negative Feedback (Bigram)
tim main,17,Negative Feedback (Bigram)
ketemu tim,16,Negative Feedback (Bigram)
main rank,15,Negative Feedback (Bigram)
kasih bintang,15,Negative Feedback (Bigram)
tim beban,15,Negative Feedback (Bigram)
hapus saja,15,Negative Feedback (Bigram)
buat emosi,14,Negative Feedback (Bigram)
anak kecil,14,Negative Feedback (Bigram)
main lain,14,Negative Feedback (Bigram)
jangan download,14,Negative Feedback (Bigram)
padahal jaringan,14,Negative Feedback (Bigram)
mau naik,13,Negative Feedback (Bigram)
buruk buruk,13,Negative Feedback (Bigram)
tim seimbang,13,Negative Feedback (Bigram)
lelah main,13,Negative Feedback (Bigram)
jangan main,13,Negative Feedback (Bigram)
tim kita,12,Negative Feedback (Bigram)
jago jago,12,Negative Feedback (Bigram)
tim bodoh,12,Negative Feedback (Bigram)
tim lawan,12,Negative Feedback (Bigram)
tim troll,12,Negative Feedback (Bigram)
naik rank,11,Negative Feedback (Bigram)
jago tim,11,Negative Feedback (Bigram)
beri musuh,11,Negative Feedback (Bigram)
pas main,11,Negative Feedback (Bigram)
sendiri ketemu,11,Negative Feedback (Bigram)
player sendiri,11,Negative Feedback (Bigram)
marah marah,11,Negative Feedback (Bigram)
lama lama,11,Negative Feedback (Bigram)
banyak dark sistem,15,Negative Feedback (Trigram)
tim dark sistem,14,Negative Feedback (Trigram)
padahal jaringan bagus,9,Negative Feedback (Trigram)
musuh jago jago,8,Negative Feedback (Trigram)
beri tim benar,8,Negative Feedback (Trigram)
lah kasih tim,8,Negative Feedback (Trigram)
selalu dapat tim,8,Negative Feedback (Trigram)
banyak dark system,8,Negative Feedback (Trigram)
buruk buruk buruk,7,Negative Feedback (Trigram)
mau naik rank,7,Negative Feedback (Trigram)
kasih tim benar,7,Negative Feedback (Trigram)
tim musuh jago,6,Negative Feedback (Trigram)
setiap kali main,6,Negative Feedback (Trigram)
main lain saja,6,Negative Feedback (Trigram)
tim dark system,6,Negative Feedback (Trigram)
perbaiki match making,6,Negative Feedback (Trigram)
musuh jago tim,6,Negative Feedback (Trigram)
bintang lagi naik,5,Negative Feedback (Trigram)
padahal sinyal bagus,5,Negative Feedback (Trigram)
dark sistem terus,5,Negative Feedback (Trigram)
semakin lama semakin,5,Negative Feedback (Trigram)
semakin kesini semakin,5,Negative Feedback (Trigram)
marah marah marah,5,Negative Feedback (Trigram)
